"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ESR1",-6.98347422151952,11.6882367391304,-41.9989638401061,1.18790576019737e-159,1.97667518496843e-155,354.371495112044
"AGR3",-8.79181895386504,8.75456739130435,-39.5229348985142,3.9664493254492e-150,3.30008583877374e-146,332.560650195818
"MLPH",-5.35998228048255,11.2893095652174,-37.1203808930384,1.43086867882358e-140,7.93655160520813e-137,310.660805616551
"TBC1D9",-4.10104275585935,12.3664206521739,-36.8575512031648,1.66025896119269e-139,6.90667727856157e-136,308.220699527594
"CA12",-5.27537824335011,12.0484763043478,-36.1032771502836,1.97792519435004e-136,6.58253504679693e-133,301.169428311099
"C6orf97",-4.41485936854457,8.05525195652174,-35.8787822111135,1.65085858941375e-135,4.57838115464081e-132,299.056847810133
"DNALI1",-4.9784799571549,8.51073739130435,-33.5223717388209,1.13415765892765e-125,2.69605477779372e-122,276.499760638184
"ERBB4",-6.19095804748671,8.51233043478261,-32.7545173252382,2.10979658229768e-122,4.12376836897523e-119,269.000316411698
"PRR15",-5.1183898064319,7.97672586956522,-32.7488743711826,2.23040356495055e-122,4.12376836897523e-119,268.944936189696
"SLC7A8",-3.31635850654155,10.9225126086957,-32.6171557582109,8.17340076287942e-122,1.36005388694314e-118,267.651143855369
"FOXA1",-6.04081287648878,11.2230280434783,-32.3977917286081,7.14050759100891e-121,1.08016405740353e-117,265.491795600015
"SLC44A4",-6.36612431205534,9.58898,-32.0662738654034,1.91013798563096e-119,2.64872467340827e-116,262.21743121167
"CT62",-4.61542517660864,4.48774391304348,-32.0452512157099,2.35379302343869e-119,3.01285507000152e-116,262.009348179134
"GPR77",-3.8542210400143,5.91213565217391,-31.9782145006706,4.58304665870799e-119,5.44727831435006e-116,261.345463157318
"AR",-5.47693730075747,8.06652282608696,-31.7304770597089,5.40250603226332e-118,5.99318002512411e-115,258.887396012752
"MAPT",-4.85265505597922,10.3026517391304,-31.4041685868758,1.40807471824878e-116,1.46439770697873e-113,255.638646346405
"PSAT1",4.81208224477827,6.53657108695652,31.1826841227279,1.29669259212355e-115,1.26923321958446e-112,253.426403355206
"ART3",5.91794025401038,2.63976065217391,31.1147971097738,2.56371832909621e-115,2.37001516645338e-112,252.74718421215
"FOXC1",3.80917512432738,7.97500304347826,30.9748234576418,1.04707478776552e-114,9.17017077285173e-112,251.345038490353
"TFF3",-7.49763294993756,9.26629391304348,-30.622921280406,3.636119823046e-113,3.02525169277427e-110,247.809976411893
"THSD4",-4.16884409731965,10.6518832608696,-30.1147785705496,6.25245321648795e-111,4.95432483439808e-108,242.680509419873
"C1orf64",-7.34051329728906,6.49599847826087,-29.8542525565584,8.85084790316773e-110,6.69445950494141e-107,240.039400933156
